aggregation_category,gas,sisepuede_fields,est_from_sisepuede
Agriculture and Managed Soil,ch4,emission_co2e_ch4_agrc_biomass_burning|emission_co2e_ch4_agrc_anaerobicdom_rice,0
Agriculture and Managed Soil,co2,emission_co2e_co2_agrc_biomass_bevs_and_spices|emission_co2e_co2_agrc_biomass_fruits|emission_co2e_co2_agrc_biomass_nuts|emission_co2e_co2_agrc_biomass_other_woody_perennial|emission_co2e_co2_lndu_conversion_croplands_to_croplands|emission_co2e_co2_lndu_drained_organic_soils_croplands|emission_co2e_co2_lndu_drained_organic_soils_pastures|emission_co2e_co2_lndu_conversion_grasslands_to_grasslands|emission_co2e_co2_lndu_conversion_grasslands_to_pastures|emission_co2e_co2_lndu_conversion_pastures_to_grasslands|emission_co2e_co2_lndu_conversion_pastures_to_pastures|emission_co2e_co2_lndu_biomass_sequestration_grasslands|emission_co2e_co2_lndu_biomass_sequestration_pastures|emission_co2e_co2_soil_lime_use|emission_co2e_co2_soil_urea_use,0
Agriculture and Managed Soil,n2o,emission_co2e_n2o_agrc_biomass_burning|emission_co2e_n2o_agrc_crop_residues|emission_co2e_n2o_soil_fertilizer|emission_co2e_n2o_soil_mineral_soils|emission_co2e_n2o_soil_organic_soils|emission_co2e_n2o_lsmm_indirect_anaerobic_digester|emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon|emission_co2e_n2o_lsmm_indirect_composting|emission_co2e_n2o_lsmm_indirect_daily_spread|emission_co2e_n2o_lsmm_indirect_deep_bedding|emission_co2e_n2o_lsmm_indirect_dry_lot|emission_co2e_n2o_lsmm_indirect_incineration|emission_co2e_n2o_lsmm_indirect_liquid_slurry|emission_co2e_n2o_lsmm_indirect_paddock_pasture_range|emission_co2e_n2o_lsmm_indirect_poultry_manure|emission_co2e_n2o_lsmm_indirect_storage_solid,0
Buildings,ch4,emission_co2e_ch4_scoe_commercial_municipal|emission_co2e_ch4_scoe_residential,0
Buildings,co2,emission_co2e_co2_scoe_nbmass_commercial_municipal|emission_co2e_co2_scoe_nbmass_residential,0
Buildings,n2o,emission_co2e_n2o_scoe_commercial_municipal|emission_co2e_n2o_scoe_residential,0
Electricity and Heat Generation,ch4,emission_co2e_ch4_entc_generation_pp_biogas|emission_co2e_ch4_entc_generation_pp_biomass|emission_co2e_ch4_entc_generation_pp_coal|emission_co2e_ch4_entc_generation_pp_coal_ccs|emission_co2e_ch4_entc_generation_pp_gas|emission_co2e_ch4_entc_generation_pp_gas_ccs|emission_co2e_ch4_entc_generation_pp_geothermal|emission_co2e_ch4_entc_generation_pp_hydropower|emission_co2e_ch4_entc_generation_pp_nuclear|emission_co2e_ch4_entc_generation_pp_ocean|emission_co2e_ch4_entc_generation_pp_oil|emission_co2e_ch4_entc_generation_pp_solar|emission_co2e_ch4_entc_generation_pp_waste_incineration|emission_co2e_ch4_entc_generation_pp_wind,0
Electricity and Heat Generation,co2,emission_co2e_co2_entc_generation_pp_biogas|emission_co2e_co2_entc_generation_pp_coal|emission_co2e_co2_entc_generation_pp_coal_ccs|emission_co2e_co2_entc_generation_pp_gas|emission_co2e_co2_entc_generation_pp_gas_ccs|emission_co2e_co2_entc_generation_pp_geothermal|emission_co2e_co2_entc_generation_pp_hydropower|emission_co2e_co2_entc_generation_pp_nuclear|emission_co2e_co2_entc_generation_pp_ocean|emission_co2e_co2_entc_generation_pp_oil|emission_co2e_co2_entc_generation_pp_solar|emission_co2e_co2_entc_generation_pp_waste_incineration|emission_co2e_co2_entc_generation_pp_wind,0
Electricity and Heat Generation,n2o,emission_co2e_n2o_entc_generation_pp_biogas|emission_co2e_n2o_entc_generation_pp_biomass|emission_co2e_n2o_entc_generation_pp_coal|emission_co2e_n2o_entc_generation_pp_coal_ccs|emission_co2e_n2o_entc_generation_pp_gas|emission_co2e_n2o_entc_generation_pp_gas_ccs|emission_co2e_n2o_entc_generation_pp_geothermal|emission_co2e_n2o_entc_generation_pp_hydropower|emission_co2e_n2o_entc_generation_pp_nuclear|emission_co2e_n2o_entc_generation_pp_ocean|emission_co2e_n2o_entc_generation_pp_oil|emission_co2e_n2o_entc_generation_pp_solar|emission_co2e_n2o_entc_generation_pp_waste_incineration|emission_co2e_n2o_entc_generation_pp_wind,0
Forest Land - Removals,co2,emission_co2e_co2_entc_bmass_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_co2_entc_generation_pp_biomass|emission_co2e_co2_frst_forest_fires|emission_co2e_co2_inen_bmass_agriculture_and_livestock|emission_co2e_co2_inen_bmass_cement|emission_co2e_co2_inen_bmass_chemicals|emission_co2e_co2_inen_bmass_electronics|emission_co2e_co2_inen_bmass_glass|emission_co2e_co2_inen_bmass_lime_and_carbonite|emission_co2e_co2_inen_bmass_metals|emission_co2e_co2_inen_bmass_mining|emission_co2e_co2_inen_bmass_other_product_manufacturing|emission_co2e_co2_inen_bmass_paper|emission_co2e_co2_inen_bmass_plastic|emission_co2e_co2_inen_bmass_recycled_glass|emission_co2e_co2_inen_bmass_recycled_metals|emission_co2e_co2_inen_bmass_recycled_paper|emission_co2e_co2_inen_bmass_recycled_plastic|emission_co2e_co2_inen_bmass_recycled_rubber_and_leather|emission_co2e_co2_inen_bmass_recycled_textiles|emission_co2e_co2_inen_bmass_recycled_wood|emission_co2e_co2_inen_bmass_rubber_and_leather|emission_co2e_co2_inen_bmass_textiles|emission_co2e_co2_inen_bmass_wood|emission_co2e_co2_scoe_bmass_commercial_municipal|emission_co2e_co2_scoe_bmass_other_se|emission_co2e_co2_scoe_bmass_residential,0
Fuel Production,ch4,emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude|emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas|emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas|emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas_liquefaction,0
Fuel Production,co2,emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement|emission_co2e_co2_entc_mining_and_extraction_me_coal|emission_co2e_co2_entc_mining_and_extraction_me_crude|emission_co2e_co2_entc_mining_and_extraction_me_natural_gas|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_ammonia_production|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas|emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas_liquefaction,0
Fuel Production,n2o,emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude|emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas|emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation|emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs|emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas|emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction,0
Fugitive Emissions,ch4,emission_co2e_ch4_fgtv_dtp_fuel_coal|emission_co2e_ch4_fgtv_flaring_fuel_coal|emission_co2e_ch4_fgtv_venting_fuel_coal|emission_co2e_ch4_fgtv_dtp_fuel_crude|emission_co2e_ch4_fgtv_dtp_fuel_oil|emission_co2e_ch4_fgtv_flaring_fuel_crude|emission_co2e_ch4_fgtv_flaring_fuel_oil|emission_co2e_ch4_fgtv_venting_fuel_crude|emission_co2e_ch4_fgtv_venting_fuel_oil|emission_co2e_ch4_fgtv_dtp_fuel_natural_gas|emission_co2e_ch4_fgtv_flaring_fuel_natural_gas|emission_co2e_ch4_fgtv_venting_fuel_natural_gas,0
